model,requested_target,estimated_target,target_transformation,shock,horizon_weeks,orthogonalized_irf
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,oil_change,4,-0.025049341988757263
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vnindex_return,4,-0.0007862161316098834
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vix_change,5,-0.0019086657813829396
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,us10y_change,5,-0.00798151138001298
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,dxy_return,5,-0.0077816787951462425
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,oil_change,5,-0.017431582715107634
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vnindex_return,5,-0.0005497815342354704
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vix_change,6,-0.0013260755225849375
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,us10y_change,6,-0.005552690388408102
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,dxy_return,6,-0.005413036817550807
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,oil_change,6,-0.012126472306211828
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vnindex_return,6,-0.0003826491214840281
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vix_change,7,-0.0009226773677579944
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,us10y_change,7,-0.0038626879715440037
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,dxy_return,7,-0.0037656815037216762
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,oil_change,7,-0.008435917414207229
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vnindex_return,7,-0.0002661432994747735
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vix_change,8,-0.0006418638455966516
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,us10y_change,8,-0.0026871453605304798
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,dxy_return,8,-0.00261964399884261
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,oil_change,8,-0.005868545142148235
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vnindex_return,8,-0.00018514476481667957
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vix_change,9,-0.00044652256603862654
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,us10y_change,9,-0.00186934582553336
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,dxy_return,9,-0.0018223891412566889
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,oil_change,9,-0.0040825303556812
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vnindex_return,9,-0.00012879910054677511
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vix_change,10,-0.00031062861988956163
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,us10y_change,10,-0.0013004344568154052
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,dxy_return,10,-0.0012677682103199028
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,oil_change,10,-0.0028400643673921868
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vnindex_return,10,-8.960074964900799e-05
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vix_change,11,-0.00021609284294215052
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,us10y_change,11,-0.0009046638317629401
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,dxy_return,11,-0.0008819391868641374
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,oil_change,11,-0.0019757271083285987
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vnindex_return,11,-6.233189420642826e-05
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vix_change,12,-0.00015032774497639905
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,us10y_change,12,-0.0006293409733110242
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,dxy_return,12,-0.0006135322766482624
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,oil_change,12,-0.0013744398349949912
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vnindex_return,12,-4.336197996707919e-05
